계정명,속성명,Web Stream Measurement ID,Property ID,대표 URLs,Web GTM Pubilic ID,Dataset ID
[GA4] Amorepacific - Global D2C,[EC] MAKEON - US,G-VK601044YV,498676344.0,https://global.make-on.com/,GTM-5KG59SCR,analytics_498676344
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - HK,G-BCLD6KEN2B,416693456.0,https://hk.sulwhasoo.com,GTM-5Q5ZBVNS,analytics_416693456
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - MY,G-5RC0R4P330,416605045.0,https://my.sulwhasoo.com,GTM-T42ZW4JS,analytics_416605045
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - MY,G-5RC0R4P330,416605045.0,"my.sulwhasoo.com,sulwhasoo.com",,
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - SG,G-N8FSX6Q69M,416668793.0,https://sg.sulwhasoo.com,GTM-WWB2LVJG,analytics_416668793
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - TH,G-GW3V84K7B8,416701782.0,https://th.sulwhasoo.com,GTM-WJZ54G76,analytics_416701782
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - TH,G-GW3V84K7B8,416701782.0,"th.sulwhasoo.com,sulwhasoo.com",,
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - TW,G-XSJSJCP6R9,416612116.0,https://tw.sulwhasoo.com/,GTM-NTC3HC9K,analytics_416612116
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - TW,G-XSJSJCP6R9,416612116.0,tw.sulwhasoo.com,,
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - US,G-W7R4FJMLJ6,416705263.0,https://us.sulwhasoo.com,GTM-KRZMBR4J,analytics_416705263
[GA4] Amorepacific - Global D2C,[EC] SULWHASOO - VN,G-G3SV7X401V,416624567.0,https://vn.sulwhasoo.com,GTM-5XK99TD8,analytics_416624567
[GA4] Amorepacific - Global D2C,[EC] Test Property - DTC,G-FSH6PFZKBT,419596439.0,-,-,analytics_419596439
[GA4] Amorepacific - Others,[OTHERS] AIBC AI ºäÆ¼Åå,G-BG7SVL2SR3,447410789.0,https://www.amoremall.com/kr/ko/aibc/web/,GTM-WG8GWZFF,analytics_447410789
[GA4] Amorepacific - Others,[OTHERS] AMOSPRO BO,G-HXD5PXLPEY,462458292.0,https://prdpro.amoshair.co.kr,GTM-MB6DT9T7,analytics_462458292
[GA4] Amorepacific - Others,[OTHERS] APGROUP,G-4RJLWDME32,416574000.0,https://www.apgroup.com/,GTM-W66WKRKZ,analytics_416574000
[GA4] Amorepacific - Others,[OTHERS] APºê·£µå,G-MJMZYMBC8R,425821424.0,https://bts.amorepacific.com/bts/amp/,GTM-WJCSXWMT,analytics_425821424
[GA4] Amorepacific - Others,[OTHERS] Global Microsite,G-9ZZJCTD1XN,434766207.0,https://theislehub.com/,GTM-NCK2NZ7K,-
[GA4] Amorepacific - Legacy,[OTHERS] IOPE,G-1MK57KQN2C,457869609.0,https://bts.amorepacific.com/bts/iob/,GTM-WJCSXWMT,analytics_457869609
[GA4] Amorepacific - Others,[OTHERS] MAKEON,G-XMPF157F3B,446888740.0,-,GTM-5Z2Z5MFN,analytics_446888740
[GA4] Amorepacific - Others,[OTHERS] Targeting Manager,G-CZCEKCJJS8,453278636.0,https://tm.amorepacific.com/,GTM-5539G6GG,analytics_453278636
[GA4] Amorepacific - Others,[OTHERS] Test Property,G-HW8EC45GS0,419573056.0,-,-,analytics_419573056
[GA4] Amorepacific - Legacy,[OTHERS] VITAL BEAUTIE,G-1RQNYYH8NN,462412412.0,https://bts.amorepacific.com/bts/btb/,GTM-WJCSXWMT,analytics_462412412
[GA4] Amorepacific - Legacy,[OTHERS] 데이터플레이스,G-PQRLXGSECN,416698159.0,https://dataplace-on.amorepacific.com,GTM-PL474W3Z,analytics_416698159
[GA4] Amorepacific - Others,[OTHERS] 디지털방판 모객시스템,G-GDY2N9SN42,416704284.0,https://new.amorecounselor.com/,GTM-PTWTV683,analytics_416704284
[GA4] Amorepacific - Legacy,[OTHERS] 라네즈 뷰티테크,G-6CCP1EVH3D,416696667.0,https://www.laneige-beautycurator.com/bts/lan/,GTM-WJCSXWMT,analytics_416696667
[GA4] Amorepacific - Others,[OTHERS] 북촌뷰티과학자의집,G-8E8QB0FNLZ,449610623.0,https://bts.amorepacific.com/bts/bsh/,GTM-WJCSXWMT,analytics_449610623
[GA4] Amorepacific - Others,[OTHERS] 뷰티스퀘어,G-G6C5WMR0EF,416703787.0,https://bstlms.amorepacific.com/,GTM-PB22PV3J,analytics_416703787
[GA4] Amorepacific - Legacy,[OTHERS] 뷰티엔젤,G-S6NCBV3ZDY,416696666.0,-,GTM-5KN6C5VS,analytics_416696666
[GA4] Amorepacific - Others,[OTHERS]뷰티포인트,G-1CGQ3ELSHZ,470995728.0,https://www.beautypoint.co.kr/,GTM-P7HB6H4J,analytics_470995728
